"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","TC-06 opens the primitives section using its anchor link","Products page","2026-09-19","unknown","","","","",""
"","11250","TC-02 opens the sign-up flow from the primary CTA","Home page","2026-09-19","passed","2026-09-19","","","",""
"","9261","TC-08 opens the Voice API product page","Products page","2026-09-19","passed","2026-09-19","","","",""
"","5712","TC-12 opens the human view from Machine navigation","Machine view","2026-09-19","passed","2026-09-19","","","",""
"","","TC-17 fills the contact form fields","Contact form","2026-09-19","unknown","","","","",""
"","9152","TC-11 replays the agent session without leaving the Machine view","Machine view","2026-09-19","passed","2026-09-19","","","",""
"","","TC-11 replays the agent session without leaving the Machine view","Machine view","2026-09-19","unknown","","","","",""
"","2264","TC-16 opens the contact form page","Contact form","2026-09-19","passed","2026-09-19","","","",""
"","9229","TC-06 opens the primitives section using its anchor link","Products page","2026-09-19","passed","2026-09-19","","","",""
"","2361","TC-01 opens the Machine view from the home page","Home page","2026-09-19","passed","2026-09-19","","","",""
"","3373","TC-10 opens the WhatsApp product page","Products page","2026-09-19","passed","2026-09-19","","","",""
"","2816","TC-05 returns from the Machine view to the home page","Home page","2026-09-19","passed","2026-09-19","","","",""
"","6540","TC-19 rejects an invalid email value","Contact form","2026-09-19","passed","2026-09-19","","","",""
"","10536","TC-01 opens the Machine view from the home page","Home page","2026-09-19","passed","2026-09-19","","","",""
"","4253","TC-20 rejects an empty required email field","Contact form","2026-09-19","passed","2026-09-19","","","",""
"","10094","TC-09 opens the SMS API product page","Products page","2026-09-19","passed","2026-09-19","","","",""
"","6218","TC-07 opens the open-source builds section using its anchor link","Products page","2026-09-19","passed","2026-09-19","","","",""
"","","TC-02 opens the sign-up flow from the primary CTA","Home page","2026-09-19","unknown","","","","",""
"","5908","TC-18 exposes the form submit button","Contact form","2026-09-19","passed","2026-09-19","","","",""
"","5857","TC-04 moves the horizontally scrollable use case slider","Home page","2026-09-19","passed","2026-09-19","","","",""
"","10582","TC-16 opens the contact form page","Contact form","2026-09-19","passed","2026-09-19","","","",""
"","6080","TC-14 keeps the Machine route after replaying twice","Machine view","2026-09-19","passed","2026-09-19","","","",""
"","6048","TC-03 switches the active use case button","Home page","2026-09-19","passed","2026-09-19","","","",""
"","5671","TC-15 opens the home page through the Human navigation link","Machine view","2026-09-19","passed","2026-09-19","","","",""
"","5292","TC-13 keeps the replay control available after interaction","Machine view","2026-09-19","passed","2026-09-19","","","",""
"","7384","TC-17 fills the contact form fields","Contact form","2026-09-19","passed","2026-09-19","","","",""
